Business Name,Industry,Address,ZIP,Phone,Source,Verified,Opportunity Score,Notes
=== PRIORITY ENRICHMENT PASS — 2026-05-31 ===
--- HVAC: NEW LEADS (Filling 78228 & 78237 gaps) ---
Air Tex Air Conditioning & Heating,HVAC,5038 Callaghan Rd,78228,(210) 433-9871,Yelp+website+MapQuest+BBB,YES,4,"78228, since 1952, family-owned, residential+commercial, first 78228 HVAC lead"
Gabe's Priority AC Service,HVAC,252 Durant St,78237,(210) 430-9300,Yelp+website+MapQuest+Facebook+Patch,YES,5,"78237, family-owned, 5-star, 24/7, first dedicated 78237 HVAC lead"
Zero Heating AC & Refrigeration,HVAC,114 Park Plaza,78237,(210) 900-0824,Yelp+website+Facebook+BBB+Chamber+Nextdoor,MIXED,4,"78237, family-owned, 30+ years experience, residential+commercial+refrigeration"
--- PLUMBING: NEW LEADS (Filling 78237 gap) ---
Ajax Plumbing Supply Co,PLUMBING,4511 W Commerce St,78237,(210) 434-2303,Yelp+website+MapQuest+Buzzfile+Manta+BBB,YES,4,"78237, family-owned since 1955 (70 years!), licensed+bonded+insured, retail+service"
First Aid Plumbing Services,PLUMBING,125 Jasmine Ln,78237,(210) 215-4721,Yelp+MapQuest+YellowPages+Superpages+BuildZoom+HomeAdvisor+Chamber,YES,5,"78237, 24/7 emergency, BuildZoom top 13% TX contractors, founded 2010"
--- ROOFING: NEW LEADS (Filling 78237 & 78211 gaps) ---
ABC Roofing & Repairs,ROOFING,821 Stonewall St,78211,(210) 923-4656,Yelp+MapQuest+Manta+BuildZoom+YellowPages+Superpages+roof.info,YES,5,"78211, BuildZoom top 11% TX contractors, first 78211 roofing lead"
HG Roof Repair,ROOFING,345 N San Gabriel Ave,78237,(210) 396-0922,Yelp+Facebook+MapQuest+AllBiz+BB+National Home Service Pros+American Home Quotes,YES,5,"78237, since 2000, 4.7★ (121 reviews), repair specialist, same-day service, first 78237 roofing lead"
--- ELECTRICIAN: NEW LEADS (Filling 78237 gap) ---
Bright Electric,ELECTRICIAN,352 N San Gabriel Ave,78237,(210) 966-3785,Yelp+MapQuest+Chamber+HomeAdvisor+BBB+BuildZoom+Localmint+CitySquares+YellowPages,YES,4,"78237, Yelp Guaranteed, verified license, residential+commercial, first 78237 electrician lead"
Advanced Electrical Contractors,ELECTRICIAN,5615 W Commerce St,78237,(210) 436-2092,Yelp+Superpages+YellowPages+MapQuest+Manta,MIXED,4,"78237, 47 YEARS in business, residential+commercial+industrial"
Pride Electric,ELECTRICIAN,6027 Monterey St,78237,(210) 435-4240,Yelp+YellowPages+MapQuest+Manta+BuildZoom+Chamber,YES,4,"78237, licensed (SEC-21-69938), 5-star reviews"
--- DENTIST: NEW LEADS (Filling 78237 & 78211 gaps) ---
Alamo Dental Center,DENTIST,,78237,(210) 431-7711,Yelp+website,MIXED,3,"78237 area, family+cosmetic dentistry, first 78237 dental lead"
Brident Dental & Orthodontics,DENTIST,4622 W Commerce St #108,78237,(210) 248-0676,website+Yelp+Vitals+NewMouth+directories,YES,4,"78237, franchise, general+orthodontics+Invisalign, multi-location potential"
Heritage Dental Center,DENTIST,9590 Marbach Rd,78211,(210) 673-9051,website+Facebook+Yelp+Nextdoor+Wellness.com+MedicareList,YES,4,"78211, since 1988 (38 years), 1946 FB likes, 87 Nextdoor faves, first 78211 dental lead"
--- CLEANING: NEW LEADS (Filling 78211 gap) ---
L & V Janitorial Service,CLEANING,5423 S Zarzamora St,78211,(512) 924-8200,MapQuest+Texas DIR vendor listing,MIXED,3,"78211, HUB-certified, commercial+residential+carpet cleaning, first 78211 cleaning lead"
J&J Commercial Cleaning LLC,CLEANING,,78211,(830) 521-5042,website+Yelp+Facebook+D&B+MapQuest,MIXED,3,"78211, commercial cleaning offices/schools/churches, South SA focus"
