Business Name,Industry,Address,ZIP,Phone,Source,Verified,Opportunity Score,Notes
CHILDCARE LEADS:
Carousel Childcare Center,CHILDCARE,143 Postwood Dr,78228,(210) 374-6947,Yelp,MIXED,3,"78228 area, active listing"
All My Children Daycare,CHILDCARE,629 N General McMullen Dr,78228,(210) 438-1003,Yelp,MIXED,3,"78228 area, listed in multiple sources"
Fairy Tales Learning Center and Preschool,CHILDCARE,1213 Bandera Rd,78228,(210) 972-5547,Yelp,MIXED,3,"78228 area, active on Yelp"
Happy Child Childcare & Learning Center,CHILDCARE,San Antonio,78228,,childcarecenter.us,MIXED,2,"Licensed center, capacity 79"
123-ABC Learning Center,CHILDCARE,San Antonio,78228,,childcarecenter.us,MIXED,2,"Licensed center, capacity 12"
Country Home Learning Center,CHILDCARE,San Antonio,78228,,childcarecenter.us,MIXED,4,"Multiple SA locations, well-known"
Castle Hills Learning Center & Day Care,CHILDCARE,San Antonio,78228,(210) 731-8100,web,MIXED,3,"Established brand"
Mi Casa Child Centers,CHILDCARE,San Antonio,78228,,web,MIXED,3,"Castroville + SA locations"
Brighton Center,CHILDCARE,San Antonio,78207,,Yelp,MIXED,3,"78207 area, Yelp listed"
Little Wonderland Childcare and Learning Center,CHILDCARE,San Antonio,78207,,Yelp,MIXED,3,"78207 area"
The Little Engine Learning Center,CHILDCARE,San Antonio,78207,,Yelp,MIXED,3,"78207 area"
Mama Bear Learning Center,CHILDCARE,San Antonio,78207,,Yelp,MIXED,3,"78207 area"
Teeter Totter Childcare,CHILDCARE,San Antonio,78207,,Yelp,MIXED,2,"78207 area"
Green Acres Child Care,CHILDCARE,San Antonio,78207,,Yelp,MIXED,2,"78207 area"
Nature Baby Daycare,CHILDCARE,San Antonio,78207,,Yelp,MIXED,2,"78207 area"
Learning Time Day Care,CHILDCARE,554 Cupples Rd,78237,(210) 436-4746,web,MIXED,3,"78237, listed on daycare.com"
St. John Bosco Child Development Center,CHILDCARE,5630 W Commerce St,78237,,opengovus,MIXED,3,"Center based, 78237"
