Business Name,Industry,Address,ZIP,Phone,Source,Verified,Opportunity Score,Notes
=== PRIORITY ENRICHMENT PASS — 2026-05-30 ===
--- CHILDCARE: New Leads ---
Yogiland Too Learning Center,CHILDCARE,2015 Bandera Rd,78228,(210) 432-0253,Yelp+Chamber+Daycare.com+childcarecenter.us,MIXED,4,"78228, capacity 56, licensed, multi-source confirmed"
A+ Accredited Learning Center,CHILDCARE,5023 Ivanhoe St,78228,(210) 689-5224,sanantonio.gov+Winnie+childcarecenter.us,MIXED,3,"78228, licensed home daycare, capacity 12"
St John Bosco Catholic School,CHILDCARE,5630 W Commerce St,78237,(210) 432-8009,Yelp+fun4alamokids.com,MIXED,3,"78237, Catholic preschool, confirmed address+phone"
Nurturing Hearts Early Learning Center,CHILDCARE,5626 San Fernando St,78237,,Yelp,MIXED,2,"78237, confirmed address"
St Andrew's Convent,CHILDCARE,2318 Castroville Rd,78237,(210) 432-0113,Yelp,MIXED,2,"78237, confirmed address+phone"
DePaul Children's Center,CHILDCARE,3050 Golden Ave,78211,(210) 334-2311,adssa.org+Yelp,MIXED,4,"78211, NAEYC accredited, confirmed address+phone"
Parent Child Inc. - Stacy Almendarez,CHILDCARE,,78211,(210) 475-4440,parentchildinc.com,MIXED,3,"78211, Head Start provider, confirmed phone"
Alamo Colleges SPC Child Development Center,CHILDCARE,,78211,(210),alamo.edu,MIXED,2,"78211, community college childcare"
--- PEST CONTROL: New Leads ---
BugOut Termite & Pest Control,PEST CONTROL,,78237,,MapQuest,MIXED,2,"78237 specific listing"
Apple Pest Control,PEST CONTROL,,78228,(210),angi.com,MIXED,4,"In business since 1984, 4.7★ rating"
Stride Pest Control,PEST CONTROL,3501 Pin Oak Dr #110,78237,(210) 547-8410,Yelp+stridepestcontrol.com,MIXED,4,"TPCL licensed, 5★, San Antonio + Austin area"
It's Bugs Or Us Pest Control,PEST CONTROL,1014 Peabody Ave,78211,,MapQuest,MIXED,3,"78211, confirmed address since 2001"
ABC Pest Control,PEST CONTROL,,78228,,abchomeandcommercial.com,MIXED,3,"SA branch covers Central Texas"
Witten Pest Control,PEST CONTROL,9595 Hwy 87 E Ste 104,78237,(210) 625-3056,wittenpestcontrol.com,MIXED,3,"78237 area, confirmed address+phone"
Gabriel & Sons Pest Control,PEST CONTROL,,78207,,Yelp,MIXED,3,"Yelp listed, 78207 area"
Mosquito Joe of San Antonio,PEST CONTROL,,78207,,mosquitojoe.com,MIXED,3,"78207 area service"
--- LANDSCAPING: New Leads ---
Texas Green Landscape LLC,LANDSCAPING,219 Remolino St,78237,(210) 421-9461,MapQuest+Bizapedia+Buzzfile,YES,4,"78237, confirmed address+phone, SAM registered contractor"
The Goat Lawn & Tree Services,LANDSCAPING,,78237,,Yelp,MIXED,2,"78237 area, Yelp listed"
Gabriel's Landscaping,LANDSCAPING,,78237,,Yelp,MIXED,2,"78237, Yelp listed"
Rhinamic Workforce,LANDSCAPING,,78237,,Yelp,MIXED,2,"78237, Yelp listed"
Cielo Irrigation & Landscape LLC,LANDSCAPING,,78237,,BBB+Yelp+Facebook,MIXED,3,"78237, family biz 10+ years, BBB listed"
Milberger's Landscaping & Nursery,LANDSCAPING,,78211,(210) 634-3624,milbergernursery.com,MIXED,3,"78211 area, plant nursery + landscaping since 1970s"
Reyes Landscaping,LANDSCAPING,622 S San Ignacio Ave,78237,(210) 390-6790,Yelp+YahooLocal,MIXED,3,"78237, confirmed address+phone, locally owned"
--- HVAC: New Leads ---
Home AC Repair,HVAC,706 SW 24th St,78207,(210) 599-1010,Yelp+hacrepair.com+Facebook,YES,5,"78207, TACLB licensed, Yelp Guaranteed, commercial HVAC, confirmed address+phone"
Premier PROS Plumbing & HVAC,HVAC,,78207,(210) 331-7556,Yelp,MIXED,4,"78207, Yelp Guaranteed, verified license, 24/7 availability"
Lopez Heating & Cooling,HVAC,512 W Mayfield Blvd,78211,(210) 928-7663,Yelp,MIXED,3,"78211, Yelp Guaranteed, locally owned & operated"
Smart Choice Heating & Air,HVAC,,78211,(210) 843-3411,Yelp,MIXED,3,"78211, Yelp Guaranteed, family-owned"
Beluga Air,HVAC,,78211,(956) 360-5448,Yelp,MIXED,3,"78211, 4.7★ rated, est. 2018"
--- PLUMBING: New Leads ---
Premier PROS Plumbing & HVAC,PLUMBING,,78207,(210) 331-7556,Yelp,MIXED,4,"78207, Yelp Guaranteed, verified license, 24/7"
J.R.'s Plumbing,PLUMBING,,78211,(210) 731-8433,jrsplumbing.net+Twitter+Yelp,MIXED,3,"78211/78207, in business since 1980, licensed+bonded+insured"
Big Ed's Plumbing Service,PLUMBING,,78211,,bigedsplumbing.com,MIXED,3,"78211, 24/7 emergency service"
Anchor Plumbing Services,PLUMBING,,78211,(210) 843-5800,hotwater.com,MIXED,3,"78211, A.O. Smith authorized installer"
The Right Guyz Plumbing Services,PLUMBING,,78211,,Yelp,MIXED,3,"78211, Yelp listed"
PlumbSmart,PLUMBING,,78211,,Yelp,MIXED,2,"78211, Yelp listed"
George Plumbing Co. Inc.,PLUMBING,1846 N Loop 1604 W Suite 244,78211,(210) 756-8857,yell4george.com+BBB,MIXED,4,"78211/SA, BBB listed, 24/7 emergency, confirmed phone"
Eli's Plumbing Services,PLUMBING,,78207,(210) 331-7556,Yelp,MIXED,3,"78207, Yelp listed"
Medina Best Plumbing LLC,PLUMBING,,78207,,cityof.com,MIXED,2,"78207, cityof.com listed"
