Business Name,Industry,Address,ZIP,Phone,Source,Verified,Opportunity Score,Notes
CHILDCARE LEADS — ENRICHED 2026-05-29:
Carousel Childcare Center,CHILDCARE,143 Postwood Dr,78228,(210) 374-6947,Yelp+Chamber,MIXED,3,"78228 area, active listing"
All My Children Daycare,CHILDCARE,629 N General McMullen Dr,78228,(210) 438-1003,Yelp,MIXED,3,"78228 area, listed in multiple sources"
Fairy Tales Learning Center and Preschool,CHILDCARE,1213 Bandera Rd,78228,(210) 972-5547,Yelp,MIXED,3,"78228 area, active on Yelp"
Happy Child Childcare & Learning Center,CHILDCARE,3414 Culebra Rd #6060,78228,(210) 434-4436,Chamber+Yelp+childcarecenter.us,MIXED,3,"Licensed center, capacity 79, confirmed address"
Country Home Learning Center,CHILDCARE,San Antonio,78228,,childcarecenter.us,MIXED,4,"Multiple SA locations, well-known"
Castle Hills Learning Center & Day Care,CHILDCARE,4638 Centerview Dr,78228,(210) 731-8100,Yelp+website,YES,4,"Established brand, confirmed address + phone"
Mi Casa Child Centers,CHILDCARE,4331 Medical Dr Bldg 1,78228,,website,MIXED,3,"Castroville + SA locations, confirmed address"
Bright Kids Daycare and Learning Center #3,CHILDCARE,San Antonio,78228,,sacrd.org,MIXED,2,"Licensed center, capacity 108"
Brighton Center,CHILDCARE,San Antonio,78207,,Yelp,MIXED,3,"78207 area, Yelp listed"
Little Wonderland Childcare and Learning Center,CHILDCARE,531 W Malone Ave,78207,,Yelp,MIXED,3,"78207 area, confirmed address"
The Little Engine Learning Center,CHILDCARE,San Antonio,78207,,Yelp,MIXED,3,"78207 area"
Mama Bear Learning Center,CHILDCARE,San Antonio,78207,,Yelp,MIXED,3,"78207 area"
Kids Paradise Daycare,CHILDCARE,2508 Buena Vista St,78207,(210) 438-8835,Chamber+Yelp,MIXED,3,"78207 area, confirmed phone"
La Estrella ADC San Fernando,CHILDCARE,San Antonio,78207,,Cybo,MIXED,2,"78207 area childcare"
AVANCE San Antonio - Carmen P. Cortez,CHILDCARE,1103 S San Jacinto,78207,,avancesa.org,MIXED,3,"78207 area, confirmed address"
Learning Time Day Care,CHILDCARE,554 Cupples Rd,78237,(210) 436-4746,Yelp+MapQuest+daycare.com,YES,3,"78237, multi-source confirmed"
Bustos Daycare & Learning Center,CHILDCARE,959 SW 34th St,78237,(210) 433-1580,Yelp+care.com,MIXED,3,"78237, confirmed address + phone"
Madonna Neighborhood Centers,CHILDCARE,1906 Castroville Rd,78237,(210) 432-2374,Yelp,MIXED,3,"78237, confirmed address"
World Of Knowledge Early Learning Center,CHILDCARE,143 NW 36th St,78237,(210) 251-2780,daycare.com+Facebook,MIXED,3,"78237, confirmed address + phone"
Little Smiles Daycare,CHILDCARE,508 Cupples Rd Ste 500,78237,,care.com,MIXED,2,"78237"
YWCA Olga H. Madrid Center,CHILDCARE,San Antonio,78237,,countyoffice.org,MIXED,4,"Texas Rising Star, capacity 145"
YMCA Early Learning Center,CHILDCARE,835 W Southcross Blvd,78211,(210),ymcasatx.org,MIXED,4,"78211, well-established"
Little Treehouse Early Learning Center #3,CHILDCARE,5310 IH-35 S,78211,(210) 932-9282,childcarecenter.us,MIXED,3,"Licensed center, capacity 58"
PCI Early Learning Academy,CHILDCARE,535 New Laredo Hwy,78211,,winnie.com,MIXED,3,"78211 area, confirmed address"
Heimer KinderCare,CHILDCARE,San Antonio,78211,,kindercare.com,MIXED,3,"78211 area, national brand"
Ages & Stages Learning Academy,CHILDCARE,1630 Whitman Ave,78211,(210),care.com,MIXED,3,"78211 area, confirmed address"
San Antonio Cottage Child Development Center,CHILDCARE,San Antonio,78211,,care.com,MIXED,2,"78211 area"
PEST CONTROL LEADS — ENRICHED 2026-05-29:
Andrew's Pest Control,PEST CONTROL,1012 Montezuma St,78207,(210) 922-9947,cmac.ws,YES,4,"78207 area, multi-source rated"
Family Pest Control LLC,PEST CONTROL,San Antonio,78207,,Yelp+website,MIXED,4,"78207, in business since 1981"
Beeline Pest Control,PEST CONTROL,San Antonio,78207,(210) 739-1320,Yelp,MIXED,4,"78228 & 78207 areas"
X Out Pest Services,PEST CONTROL,San Antonio,78207,,Yelp,MIXED,3,"78207 area"
